id,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,year,state,zip_code,school_type,school_level,district_id,teacher_salary,student_support,staff_support,admin_salary
170015302517,-0.6354394258619643,0.003625546668717238,-0.03116258524538724,-0.26685714225413343,-0.40815205014913514,2016-2017,IL,61542,Regular School,High,1700153,-0.6103401063680505,0.1860700178717233,-0.8366257272431568,1.9201580892023062
422109002489,0.10950544874021632,-0.5903564206938239,-1.249015086710003,-0.7073614296276621,0.6962562732837287,2016-2017,PA,18504,Regular School,High,4221090,0.20721607248333382,-0.4859797482774502,-1.202006865093673,-0.5938440463606486
482514002803,-1.1805164744561476,-0.9226636113629626,-0.8343034020872404,-0.5797862110388962,0.18102719398157346,2016-2017,TX,78118,Regular School,High,4825140,0.6307599103863799,0.3586148880644413,0.589766022442513,1.4978323336249317
421275005112,-0.6327899291187562,0.7447732208799822,0.417835061967555,-0.37447246992403777,-0.8897273817858534,2016-2017,PA,15216,Regular School,High,4212750,1.349618717836504,1.0531705068474477,-0.6188023566015027,0.899260396586133
484632005278,-0.46401733036460524,-0.6833245341759511,0.2721269170006073,-0.37880061469170667,0.08771500063681545,2016-2017,TX,75978,Regular School,High,4846320,-0.160373350137108,-0.5966335237271281,-0.43962506784788413,0.1842994717897899
250987001579,1.614474481008199,0.7101909034732969,1.388145540772815,-0.03427188702066195,0.10243631758325245,2016-2017,MA,02169,Regular School,High,2509870,1.6185107690556855,0.6987033278645812,0.856775315487121,-0.7867172260731504
390446001475,-0.6723900417209067,0.3606878126989298,0.572764812794231,0.42047745934548586,-0.13436665954198218,2016-2017,OH,43616,Regular School,High,3904460,0.21809609767717356,0.1548118892136222,1.208103332651079,-0.32781207434340465
120153003650,-0.9968024614824833,0.6562963696531268,-0.0732582949799087,0.8556451021996558,-0.16176394703701086,2016-2017,FL,33545,Regular School,High,1201530,-1.2359415550138342,-0.8316946512360482,0.034667755323459226,-0.886479215579617
220195001472,-0.11227304824742676,-1.8153086511680085,-0.7074586406397356,-0.8728814513737586,1.1567025310293708,2016-2017,LA,71263,Regular School,Other,2201950,-0.7657690377086178,-0.3171858535237043,0.06628727686821545,-0.16486749148284274
262946008380,1.0510019607209118,0.11811720204391966,-0.19745373248786405,0.38623048861101805,2.0676777363349594,2016-2017,MI,48240,Regular School,High,2629460,1.311538629658065,1.3982602472328838,1.3662009403748603,-0.45750266070181106
370268001110,0.28785276545506083,1.1999724152328517,1.7515881630532377,0.6658370447670288,-0.6184085044830638,2016-2017,NC,28037,Regular School,High,3702680,-0.660077364397032,-1.1792850419141325,-0.7347406022656089,-0.8266220218757371
483426003808,-0.3637077364872419,-0.036964095210961785,0.6715764039877032,0.7621487710534094,-1.0815684475508436,2016-2017,TX,76073,Regular School,High,4834260,-0.0678931359894704,-0.9223432243445414,-0.717174201407411,0.011378689978581347
481050000527,-0.7829306401614754,-1.7661084222272745,1.0979529810644886,-0.2503009379972251,0.635749975039441,2016-2017,TX,77951,Regular School,High,4810500,0.40616510459926003,-0.06962147455154365,-0.7136609212357714,0.5700458312147936
482526007119,-0.33298347744682744,0.8315866763785825,-0.5836468860879326,0.4515308475329358,-0.3771170264742598,2016-2017,TX,76244,Regular School,High,4825260,-0.07333314858639026,-0.5591237693374067,-0.4607047488777216,-0.8997808141804791
263285006834,-0.7585422798386544,0.8177032486397482,1.33869829258496,-0.3346787505552758,-1.0726514280886215,2016-2017,MI,49085,Regular School,High,2632850,-1.1248098691053285,-0.6947840477135655,-0.24639465840770722,-0.5805424477597864
422436006340,-0.7310335944093027,-0.6266823715113077,0.22970834189056494,-0.045785592519121066,-0.6061776771882066,2016-2017,PA,17023,Regular School,High,4224360,0.8266003638754947,0.38487171613724624,-0.5766429945418278,0.4137520476546628
470378001549,-0.9063953129628673,-0.35001190062651666,-0.24795153587996074,-0.6819808525434676,0.07109039309355776,2016-2017,TN,37738,Regular School,High,4703780,-0.23109351389706614,-0.7185402254937223,-0.5696164341985486,0.26743446304517865
421272001486,-0.532648900729536,-1.0220413178035745,0.33589993372344734,-0.34997433012257184,-0.40636468178894014,2016-2017,PA,16232,Regular School,High,4212720,0.5367254069253367,0.5317849208303214,-0.9139178910192275,0.8726571993844086
422237004068,0.046056942101526735,0.45334040276380394,0.20047484640007684,-0.36548001380480327,-0.4566994950346243,2016-2017,PA,16933,Regular School,High,4222370,0.09142151863461115,0.34486131145487686,1.0429791645840187,0.03465648753009019
170546000225,0.1817316157365141,-0.947603537997648,-0.04634200198193491,-0.5613810905705564,-0.12768239177873272,2016-2017,IL,62414,Regular School,Other,1705460,-0.2691736020755051,0.9712742097632228,-1.5673880029441896,5.0094543642525515
530038000049,-0.4246423050483146,-0.2006151140801666,-0.18645468424079556,-0.1681922498804765,-0.5231534003230356,2016-2017,WA,98604,Regular School,High,5300380,0.38051933092806645,0.2692166401022722,0.7408370698230149,-0.8532252190774614
422482004149,0.0247026647312992,1.1249989975777135,0.6478201715859139,-0.02019491131999114,-0.3369169270402171,2016-2017,PA,16365,Regular School,High,4224820,0.28803911678042887,0.9681483968974126,-0.3553063437285342,-0.31118507609232693
530951001619,0.9153867867990317,-1.0416885225517871,0.6228042208046537,-0.44767274356752595,1.0100207628444988,2016-2017,WA,98857,Regular School,High,5309510,0.2577304751690182,0.5317849208303214,3.7200986553733792,0.06125968473181458
220072000527,-0.4256420472025505,-0.3129280824440257,-1.1446653329434187,-0.748751940269933,0.39301291463663135,2016-2017,LA,70560,Regular School,High,2200720,-0.5481685338318235,-0.5522469810326245,-0.34125322304197586,-0.43422486315030223
